2018-02-21 23:06:52,453 [Worker-1] INFO  o.e.m.c.i.i.nexus.NexusIndexManager - Updating index for repository: central|http://repo1.maven.org/maven2
2018-02-21 23:08:28,096 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.bruce:ssh:0.0.1-SNAPSHOT @ E:\JAVAWEB\ssh Maven Webapp\pom.xml.
2018-02-21 23:08:28,096 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.bruce:ssh:0.0.1-SNAPSHOT @ E:\JAVAWEB\ssh Maven Webapp\pom.xml.
2018-02-21 23:08:34,830 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-21 23:08:34,846 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2018-02-21 23:08:34,862 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-21 23:08:34,862 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVAWEB\ssh Maven Webapp\src\test\resources
2018-02-21 23:08:36,268 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-21 23:08:36,299 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.bruce:ssh:0.0.1-SNAPSHOT @ E:\JAVAWEB\ssh Maven Webapp\pom.xml.
2018-02-21 23:08:36,330 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2018-02-21 23:08:36,346 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-21 23:08:36,346 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVAWEB\ssh Maven Webapp\src\test\resources
2018-02-21 23:08:41,256 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-21 23:08:41,256 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-02-21 23:08:41,256 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-02-21 23:08:41,256 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVAWEB\ssh Maven Webapp\src\test\resources
